ship_id,hour,avg_engine_rpm,max_engine_rpm,avg_coolant_temp,max_coolant_temp,stddev_coolant_temp,avg_vibration,max_vibration,avg_fuel_flow,avg_hvac_pressure,anomaly_events,anomaly_rate,label
MSC-BELLISSIMA,2026-05-18 16:27:10.520848,1772.8117104858786,1869.549236822897,77.72,80.18,1.176,0.755,1.03,12.331,4.134,0,0.0,0
MSC-BELLISSIMA,2026-05-18 17:27:10.520848,1796.841546058894,1826.9998650821872,77.66,80.35,0.763,0.789,1.09,12.369,4.04,0,0.0,0
MSC-BELLISSIMA,2026-05-18 18:27:10.520848,1825.6563259242068,1834.232463826697,78.0,80.52,0.886,0.807,0.929,12.794,4.376,0,0.0,0
MSC-BELLISSIMA,2026-05-18 19:27:10.520848,1778.6450086142472,1852.6564461391858,77.98,81.96,0.946,0.762,1.16,11.806,4.092,0,0.0,0
MSC-BELLISSIMA,2026-05-18 20:27:10.520848,1817.6574772879637,1873.699367192548,78.77,81.27,0.354,0.826,1.087,12.697,4.222,0,0.0,0
MSC-BELLISSIMA,2026-05-18 21:27:10.520848,1789.97134507613,1918.157007305244,78.62,79.94,0.986,0.851,1.21,12.506,4.078,0,0.0,0
MSC-BELLISSIMA,2026-05-18 22:27:10.520848,1837.3986285657995,1842.6016331366252,76.02,77.26,1.03,0.795,1.133,12.231,4.161,0,0.0,0
MSC-BELLISSIMA,2026-05-18 23:27:10.520848,1792.0186778681366,1853.7432325445052,77.94,80.52,1.258,0.754,0.993,13.059,4.293,0,0.0,0
MSC-BELLISSIMA,2026-05-19 00:27:10.520848,1802.4094183864427,1863.0616665856053,79.14,80.94,0.993,0.803,0.931,12.559,4.097,0,0.0,0
MSC-BELLISSIMA,2026-05-19 01:27:10.520848,1786.634804094168,1874.4313659139934,80.06,83.22,1.576,0.783,0.966,12.626,4.149,0,0.0,0
MSC-BELLISSIMA,2026-05-19 02:27:10.520848,1800.977215789297,1826.6064881284676,76.84,78.18,1.137,0.775,0.88,12.55,4.337,0,0.0,0
MSC-BELLISSIMA,2026-05-19 03:27:10.520848,1797.5642892628446,1864.0911579372937,78.47,82.27,1.304,0.822,1.284,12.476,4.117,0,0.0,0
MSC-BELLISSIMA,2026-05-19 04:27:10.520848,1761.9098523744979,1859.3400069443885,77.25,79.31,1.38,0.765,1.057,12.68,4.332,0,0.0,0
MSC-BELLISSIMA,2026-05-19 05:27:10.520848,1842.359792643445,1901.6373795609468,76.61,80.29,1.02,0.794,1.145,12.215,4.21,0,0.0,0
MSC-BELLISSIMA,2026-05-19 06:27:10.520848,1786.2373695149236,1798.5648987372565,78.53,81.16,1.216,0.872,0.976,12.376,4.062,0,0.0,0
MSC-BELLISSIMA,2026-05-19 07:27:10.520848,1756.666846771631,1841.963279786763,78.54,79.92,1.145,0.81,1.228,12.948,4.057,0,0.0,0
MSC-BELLISSIMA,2026-05-19 08:27:10.520848,1838.9580467563783,1846.9199440554464,76.67,78.36,0.976,0.815,1.09,12.592,4.104,0,0.0,0
MSC-BELLISSIMA,2026-05-19 09:27:10.520848,1811.4581743921046,1795.6344011762235,77.99,80.6,1.018,0.791,0.991,12.657,4.145,0,0.0,0
MSC-BELLISSIMA,2026-05-19 10:27:10.520848,1781.3947209294822,1875.1602523036272,79.02,82.67,0.986,0.809,1.264,11.828,4.169,0,0.0,0
MSC-BELLISSIMA,2026-05-19 11:27:10.520848,1777.7131501272065,1876.4376928797283,76.32,77.59,0.959,0.805,1.009,12.532,4.226,0,0.0,0
MSC-BELLISSIMA,2026-05-19 12:27:10.520848,1792.3794279173235,1854.1762343480104,77.35,80.45,0.691,0.731,0.84,12.255,4.153,0,0.0,0
MSC-BELLISSIMA,2026-05-19 13:27:10.520848,1785.933927624443,1895.7741559070316,79.27,81.68,0.887,0.865,1.187,12.621,4.015,0,0.0,0
MSC-BELLISSIMA,2026-05-19 14:27:10.520848,1830.7731988481894,1815.5770635906592,77.25,80.55,1.054,0.763,0.875,12.586,4.036,0,0.0,0
MSC-BELLISSIMA,2026-05-19 15:27:10.520848,1776.6221833292077,1875.2574698010296,79.26,83.04,0.913,0.754,1.167,12.648,4.307,0,0.0,0
MSC-BELLISSIMA,2026-05-19 16:27:10.520848,1880.708721739157,1876.9026994700675,78.64,80.51,0.973,0.799,1.166,12.338,4.23,0,0.0,0
MSC-BELLISSIMA,2026-05-19 17:27:10.520848,1786.8018648678997,1815.1430318265338,77.46,78.76,0.794,0.762,1.207,11.746,4.206,0,0.0,0
MSC-BELLISSIMA,2026-05-19 18:27:10.520848,1780.6586243562801,1830.6141439486216,78.67,82.67,1.035,0.728,0.844,12.221,4.282,0,0.0,0
MSC-BELLISSIMA,2026-05-19 19:27:10.520848,1804.7376380739781,1843.7738103898669,77.13,78.81,1.499,0.808,1.247,12.572,3.951,0,0.0,0
MSC-BELLISSIMA,2026-05-19 20:27:10.520848,1799.9638361215016,1887.8125817907826,78.8,81.37,1.21,0.829,0.943,12.672,4.133,0,0.0,0
MSC-BELLISSIMA,2026-05-19 21:27:10.520848,1788.8983958308058,1857.258748423219,77.1,80.8,1.137,0.868,1.072,12.286,4.18,0,0.0,0
MSC-BELLISSIMA,2026-05-19 22:27:10.520848,1785.5816600261742,1880.9556568401445,78.59,80.26,1.09,0.768,0.994,12.586,4.172,0,0.0,0
MSC-BELLISSIMA,2026-05-19 23:27:10.520848,1727.7966453671015,1848.1302808540956,76.88,79.23,0.812,0.845,0.961,12.476,4.194,0,0.0,0
MSC-BELLISSIMA,2026-05-20 00:27:10.520848,1848.2348126968202,1839.2461305978782,78.97,82.63,1.357,0.746,0.941,12.389,4.25,0,0.0,0
MSC-BELLISSIMA,2026-05-20 01:27:10.520848,1814.7005774253505,1829.4994793893936,77.21,79.64,1.547,0.821,1.028,12.646,4.455,0,0.0,0
MSC-BELLISSIMA,2026-05-20 02:27:10.520848,1835.260680746247,1841.5227883140233,76.18,77.74,0.864,0.764,1.193,12.933,4.184,0,0.0,0
MSC-BELLISSIMA,2026-05-20 03:27:10.520848,1809.6642457434978,1868.3897283256554,79.2,81.22,1.269,0.827,1.024,12.685,4.042,0,0.0,0
MSC-BELLISSIMA,2026-05-20 04:27:10.520848,1809.335813487364,1857.5549339682902,76.57,79.62,0.88,0.82,1.262,12.324,4.245,0,0.0,0
MSC-BELLISSIMA,2026-05-20 05:27:10.520848,1790.6569565754755,1862.1121120744622,78.37,80.47,0.74,0.801,1.269,12.476,4.112,0,0.0,0
MSC-BELLISSIMA,2026-05-20 06:27:10.520848,1799.1961326854325,1902.6511171958384,78.64,79.96,0.853,0.817,1.052,12.432,4.19,0,0.0,0
MSC-BELLISSIMA,2026-05-20 07:27:10.520848,1758.507445666287,1799.0565798543864,76.83,78.77,0.885,0.764,0.994,12.908,4.23,0,0.0,0
MSC-BELLISSIMA,2026-05-20 08:27:10.520848,1822.6104715440229,1893.6939534012529,79.23,82.58,0.845,0.783,1.148,12.411,4.311,0,0.0,0
MSC-BELLISSIMA,2026-05-20 09:27:10.520848,1810.6750300746382,1829.4152518392016,77.0,79.41,0.933,0.79,1.051,12.192,4.216,0,0.0,0
MSC-BELLISSIMA,2026-05-20 10:27:10.520848,1841.7622190202662,1885.0907677511661,77.68,80.06,1.266,0.828,0.988,12.912,4.093,0,0.0,0
MSC-BELLISSIMA,2026-05-20 11:27:10.520848,1819.0879177052989,1856.2234965993646,79.21,82.07,1.029,0.754,1.035,12.541,4.316,0,0.0,0
MSC-BELLISSIMA,2026-05-20 12:27:10.520848,1825.0907961679663,1855.3176016372522,77.22,80.62,1.036,0.837,1.205,12.362,4.218,0,0.0,0
MSC-BELLISSIMA,2026-05-20 13:27:10.520848,1775.12646901016,1753.1439227407188,75.25,78.57,1.223,0.765,0.878,12.383,4.301,0,0.0,0
MSC-BELLISSIMA,2026-05-20 14:27:10.520848,1759.4906772596783,1807.7975327194706,77.95,81.4,1.18,0.757,1.161,12.633,4.26,0,0.0,0
MSC-BELLISSIMA,2026-05-20 15:27:10.520848,1797.585344351343,1822.976552184057,78.26,80.82,0.941,0.795,1.067,12.529,4.15,0,0.0,0
MSC-BELLISSIMA,2026-05-20 16:27:10.520848,1778.3769363563727,1875.3815968326403,79.56,82.53,0.995,0.726,0.845,12.649,4.013,0,0.0,0
MSC-BELLISSIMA,2026-05-20 17:27:10.520848,1786.976976254991,1834.3859278441548,76.05,78.41,0.636,0.781,1.102,12.613,4.321,0,0.0,0
MSC-BELLISSIMA,2026-05-20 18:27:10.520848,1778.734105984262,1811.9648580480664,78.74,80.58,1.455,0.762,0.863,12.23,4.107,0,0.0,0
MSC-BELLISSIMA,2026-05-20 19:27:10.520848,1808.3665295980602,1850.553682029166,77.59,79.91,0.816,0.828,1.309,12.782,4.241,0,0.0,0
MSC-BELLISSIMA,2026-05-20 20:27:10.520848,1780.978316891844,1826.165070475318,80.44,82.34,0.986,0.818,1.115,12.764,4.203,0,0.0,0
MSC-BELLISSIMA,2026-05-20 21:27:10.520848,1723.6493553016064,1839.4551222252956,77.88,80.75,0.353,0.776,1.234,12.159,4.297,0,0.0,0
MSC-BELLISSIMA,2026-05-20 22:27:10.520848,1826.5935432258227,1841.7089802860226,77.17,81.12,1.509,0.669,0.827,12.698,4.195,0,0.0,0
MSC-BELLISSIMA,2026-05-20 23:27:10.520848,1803.0926956351498,1819.0995847057045,79.04,80.47,0.796,0.847,1.295,12.682,4.203,0,0.0,0
MSC-BELLISSIMA,2026-05-21 00:27:10.520848,1727.7798478241061,1838.5511613437973,78.55,81.98,0.97,0.766,1.07,12.82,4.088,0,0.0,0
MSC-BELLISSIMA,2026-05-21 01:27:10.520848,1798.147768213571,1808.7025578476691,77.78,79.53,1.516,0.797,1.291,12.263,4.058,0,0.0,0
MSC-BELLISSIMA,2026-05-21 02:27:10.520848,1821.4977878358,1831.37403687276,78.49,81.02,1.478,0.767,0.897,12.592,4.092,0,0.0,0
MSC-BELLISSIMA,2026-05-21 03:27:10.520848,1781.642679145939,1833.051018068459,76.17,77.9,1.142,0.832,1.216,12.253,4.318,0,0.0,0
MSC-BELLISSIMA,2026-05-21 04:27:10.520848,1787.9297515573985,1834.1170360876247,78.62,82.43,0.809,0.79,0.977,12.498,4.202,0,0.0,0
MSC-BELLISSIMA,2026-05-21 05:27:10.520848,1793.1589128966932,1870.2136425499932,77.25,79.74,0.97,0.793,1.067,12.518,4.063,0,0.0,0
